Year,Theory of Computation,Algorithms,Digital Logic,Operating System,Databases,Compiler Design,IS & Software Engg.,CO & Architecture,Programming,Data Structures,Computer Networks,Web Technologies,Discrete Mathematics,Mathematical Logic,Set Theory & Algebra,Combinatory,Graph Theory,Engineering Mathematics,Probability,Linear Algebra,Numerical Methods,Calculus,Quantitative Aptitude,Verbal Aptitude,Analytical Aptitude,Spatial Aptitude,Total
2010,7,11,8,7,7,5,4,6,2,5,7,1,9,2,2,2,3,0,4,2,1,1,9,6,0,0,100
2011,8,13,7,8,7,6,5,7,1,1,6,1,5,2,0,2,1,0,6,2,0,2,6,9,0,0,100
2012,5,12,5,9,11,4,0,5,7,2,9,0,9,2,2,0,5,0,5,1,2,1,6,9,0,0,100
2013,8,13,5,12,7,3,3,9,2,3,7,0,8,4,1,0,3,4,2,1,1,1,9,6,0,0,100
2014,17,27,17,24,16,14,3,17,4,10,24,3,34,6,11,4,13,26,11,7,4,8,24,21,0,0,300
2015,15,34,14,24,18,13,11,12,13,18,22,3,38,5,27,0,6,19,4,9,4,6,24,21,0,0,300
2016,18,16,10,16,11,12,0,16,11,14,19,0,17,4,6,7,0,9,4,3,0,2,15,15,0,0,200
2017,21,14,13,12,16,10,0,16,19,6,13,0,12,5,4,2,1,18,7,8,0,3,21,9,0,0,200
2018,8,8,6,9,6,5,0,8,8,2,7,0,11,2,3,3,3,7,3,3,0,1,13,2,0,0,100
2019,8,6,8,10,8,6,0,4,8,4,9,0,8,2,1,2,3,8,4,3,0,1,8,7,0,0,100
2020,9,8,6,10,8,4,0,9,3,7,6,0,8,2,2,2,2,5,2,2,0,1,7,6,2,0,100
2021,19,19,13,14,15,13,0,11,10,8,16,0,15,2,7,3,3,17,10,5,0,2,13,8,4,5,200
2022,8,6,5,10,7,4,0,7,5,4,10,0,13,0,1,5,7,6,0,5,0,1,6,3,3,3,100
2023,9,6,6,9,5,7,0,10,1,8,8,0,10,1,4,3,2,6,2,2,0,2,5,4,3,3,100
2024,12,15,12,20,16,18,0,16,8,6,18,0,15,1,6,0,8,14,7,5,0,2,15,6,3,6,200
