Year,Theory of Computation,Algorithms,Digital Logic,Operating System,Databases,Compiler Design,IS & Software Engg.,CO & Architecture,Programming,Data Structures,Computer Networks,Web Technologies,Discrete Mathematics,Mathematical Logic,Set Theory & Algebra,Combinatory,Graph Theory,Engineering Mathematics,Probability,Linear Algebra,Numerical Methods,Calculus,Quantitative Aptitude,Verbal Aptitude,Analytical Aptitude,Spatial Aptitude
2010,1,1,4,3,3,1,2,1,2,1,1,1,0,0,1,0,1,0,0,0,1,1,1,4,0,0
2011,2,1,3,4,1,2,3,1,1,1,2,1,0,0,0,0,1,0,2,0,0,0,1,4,0,0
2012,3,4,3,1,3,1,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0
2013,2,3,2,2,1,1,1,2,1,1,3,0,0,0,1,0,1,0,1,1,1,1,1,4,0,0
2014,5,10,7,4,6,6,3,3,3,3,8,1,0,2,3,0,3,0,3,5,0,2,6,9,0,0
2015,3,6,3,6,5,5,5,3,4,10,8,3,0,3,10,0,0,0,0,3,0,2,7,9,0,0
2016,6,6,6,2,5,2,0,2,3,2,5,0,0,2,0,1,1,0,2,3,0,2,3,7,0,0
2017,5,4,5,4,4,4,0,3,3,4,5,0,0,3,2,0,1,0,1,3,0,1,5,5,0,0
2018,2,1,2,3,2,1,0,2,2,2,3,0,0,0,1,1,1,0,1,1,0,1,3,2,0,0
2019,2,2,4,2,2,2,0,2,2,1,1,0,0,0,1,2,1,0,2,1,0,1,2,3,0,0
2020,3,2,2,1,2,2,0,3,1,3,2,0,0,0,2,0,0,0,0,0,0,0,2,5,0,0
2021,5,5,5,6,3,3,0,3,3,6,2,0,0,2,1,1,1,0,2,1,0,2,3,4,0,3
2022,2,2,1,2,3,2,0,3,1,2,2,0,0,0,1,1,1,0,0,1,0,1,2,1,1,1
2023,3,2,2,3,1,1,0,2,1,2,2,0,0,1,0,1,0,0,0,2,0,2,1,2,1,1
2024,2,3,4,4,8,4,0,4,4,2,6,0,0,1,2,0,2,0,3,1,0,2,7,2,1,0
