Year,Theory of Computation,Algorithms,Digital Logic,Operating System,Databases,Compiler Design,IS & Software Engg.,CO & Architecture,Programming,Data Structures,Computer Networks,Web Technologies,Discrete Mathematics,Mathematical Logic,Set Theory & Algebra,Combinatory,Graph Theory,Engineering Mathematics,Probability,Linear Algebra,Numerical Methods,Calculus,Quantitative Aptitude,Verbal Aptitude,Analytical Aptitude,Spatial Aptitude
2010,6,10,4,4,6,4,2,6,2,4,6,0,0,2,0,2,2,0,4,2,0,0,8,2,0,0
2011,6,12,4,4,6,4,2,6,2,2,4,0,0,2,0,2,0,0,4,2,0,2,8,2,0,0
2012,2,8,2,8,8,4,0,4,6,2,6,0,0,4,2,0,6,0,6,2,2,2,6,2,0,0
2013,6,10,4,10,6,2,2,6,2,2,4,0,0,4,0,0,2,0,2,0,0,0,8,2,0,0
2014,12,26,10,20,18,8,0,14,6,8,16,2,0,4,8,4,10,0,8,2,4,6,18,14,0,0
2015,12,28,12,18,14,10,6,10,10,10,14,0,0,2,16,0,6,0,4,6,4,4,18,18,0,0
2016,12,10,6,14,6,10,0,14,8,12,14,0,0,2,6,6,0,0,2,0,0,0,12,8,0,0
2017,16,10,10,8,12,6,0,14,16,4,8,0,0,4,2,2,0,0,6,8,0,2,16,6,0,0
2018,6,8,4,6,4,4,0,6,6,2,4,0,0,2,2,2,2,0,2,2,0,0,10,0,0,0
2019,6,4,4,8,6,4,0,2,6,4,8,0,0,2,0,0,2,0,2,2,0,0,6,4,0,0
2020,6,8,4,8,6,2,0,6,2,4,4,0,0,2,0,2,2,0,2,2,0,2,6,2,2,0
2021,14,14,8,8,12,10,0,8,8,4,14,0,0,0,6,2,2,0,8,4,0,0,10,4,4,2
2022,6,4,4,8,4,2,0,4,4,2,8,0,0,0,0,4,6,0,0,4,0,0,4,2,2,2
2023,6,4,4,6,4,6,0,8,2,6,6,0,0,0,4,2,2,0,2,0,0,0,4,2,2,2
2024,10,12,8,16,8,14,0,12,4,6,12,0,0,0,4,0,6,0,4,4,0,0,8,4,2,6
