Year,Theory of Computation,Algorithms,Digital Logic,Operating System,Databases,Compiler Design,IS & Software Engg.,CO & Architecture,Programming,Data Structures,Computer Networks,Web Technologies,Discrete Mathematics,Mathematical Logic,Set Theory & Algebra,Combinatory,Graph Theory,Engineering Mathematics,Probability,Linear Algebra,Numerical Methods,Calculus,Quantitative Aptitude,Verbal Aptitude,Analytical Aptitude,Spatial Aptitude,Total
2010,7.0,11.0,8.0,7.0,7.0,5.0,4.0,6.0,2.0,5.0,7.0,1.0,9.0,2.0,2.0,2.0,3.0,0.0,4.0,2.0,1.0,1.0,9.0,6.0,0.0,0.0,100.0
2011,8.0,13.0,7.0,8.0,7.0,6.0,5.0,7.0,1.0,1.0,6.0,1.0,5.0,2.0,0.0,2.0,1.0,0.0,6.0,2.0,0.0,2.0,6.0,9.0,0.0,0.0,100.0
2012,5.0,12.0,5.0,9.0,11.0,4.0,0.0,5.0,7.0,2.0,9.0,0.0,9.0,2.0,2.0,0.0,5.0,0.0,5.0,1.0,2.0,1.0,6.0,9.0,0.0,0.0,100.0
2013,8.0,13.0,5.0,12.0,7.0,3.0,3.0,9.0,2.0,3.0,7.0,0.0,8.0,4.0,1.0,0.0,3.0,4.0,2.0,1.0,1.0,1.0,9.0,6.0,0.0,0.0,100.0
2014,5.666666666666667,9.0,5.666666666666667,8.0,5.333333333333333,4.666666666666667,1.0,5.666666666666667,1.3333333333333333,3.3333333333333335,8.0,1.0,11.333333333333334,2.0,3.6666666666666665,1.3333333333333333,4.333333333333333,8.666666666666666,3.6666666666666665,2.3333333333333335,1.3333333333333333,2.6666666666666665,8.0,7.0,0.0,0.0,100.0
2015,5.0,11.333333333333334,4.666666666666667,8.0,6.0,4.333333333333333,3.6666666666666665,4.0,4.333333333333333,6.0,7.333333333333333,1.0,12.666666666666666,1.6666666666666667,9.0,0.0,2.0,6.333333333333333,1.3333333333333333,3.0,1.3333333333333333,2.0,8.0,7.0,0.0,0.0,100.0
2016,9.0,8.0,5.0,8.0,5.5,6.0,0.0,8.0,5.5,7.0,9.5,0.0,8.5,2.0,3.0,3.5,0.0,4.5,2.0,1.5,0.0,1.0,7.5,7.5,0.0,0.0,100.0
2017,10.5,7.0,6.5,6.0,8.0,5.0,0.0,8.0,9.5,3.0,6.5,0.0,6.0,2.5,2.0,1.0,0.5,9.0,3.5,4.0,0.0,1.5,10.5,4.5,0.0,0.0,100.0
2018,8.0,8.0,6.0,9.0,6.0,5.0,0.0,8.0,8.0,2.0,7.0,0.0,11.0,2.0,3.0,3.0,3.0,7.0,3.0,3.0,0.0,1.0,13.0,2.0,0.0,0.0,100.0
2019,8.0,6.0,8.0,10.0,8.0,6.0,0.0,4.0,8.0,4.0,9.0,0.0,8.0,2.0,1.0,2.0,3.0,8.0,4.0,3.0,0.0,1.0,8.0,7.0,0.0,0.0,100.0
2020,9.0,8.0,6.0,10.0,8.0,4.0,0.0,9.0,3.0,7.0,6.0,0.0,8.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,0.0,1.0,7.0,6.0,2.0,0.0,100.0
2021,9.5,9.5,6.5,7.0,7.5,6.5,0.0,5.5,5.0,4.0,8.0,0.0,7.5,1.0,3.5,1.5,1.5,8.5,5.0,2.5,0.0,1.0,6.5,4.0,2.0,2.5,100.0
2022,8.0,6.0,5.0,10.0,7.0,4.0,0.0,7.0,5.0,4.0,10.0,0.0,13.0,0.0,1.0,5.0,7.0,6.0,0.0,5.0,0.0,1.0,6.0,3.0,3.0,3.0,100.0
2023,9.0,6.0,6.0,9.0,5.0,7.0,0.0,10.0,1.0,8.0,8.0,0.0,10.0,1.0,4.0,3.0,2.0,6.0,2.0,2.0,0.0,2.0,5.0,4.0,3.0,3.0,100.0
2024,6.0,7.5,6.0,10.0,8.0,9.0,0.0,8.0,4.0,3.0,9.0,0.0,7.5,0.5,3.0,0.0,4.0,7.0,3.5,2.5,0.0,1.0,7.5,3.0,1.5,3.0,100.0
