Year,Theory of Computation,Algorithms,Digital Logic,Operating System,Databases,Compiler Design,IS & Software Engg.,CO & Architecture,Programming,Data Structures,Computer Networks,Web Technologies,Discrete Mathematics,Mathematical Logic,Set Theory & Algebra,Combinatory,Graph Theory,Engineering Mathematics,Probability,Linear Algebra,Numerical Methods,Calculus,Quantitative Aptitude,Verbal Aptitude,Analytical Aptitude,Spatial Aptitude
2010,1.0,1.0,4.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0
2011,2.0,1.0,3.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0
2012,3.0,4.0,3.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0
2013,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0
2014,1.6666666666666667,3.3333333333333335,2.3333333333333335,1.3333333333333333,2.0,2.0,1.0,1.0,1.0,1.0,2.6666666666666665,0.3333333333333333,0.0,0.6666666666666666,1.0,0.0,1.0,0.0,1.0,1.6666666666666667,0.0,0.6666666666666666,2.0,3.0,0.0,0.0
2015,1.0,2.0,1.0,2.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.0,1.3333333333333333,3.3333333333333335,2.6666666666666665,1.0,0.0,1.0,3.3333333333333335,0.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,2.3333333333333335,3.0,0.0,0.0
2016,3.0,3.0,3.0,1.0,2.5,1.0,0.0,1.0,1.5,1.0,2.5,0.0,0.0,1.0,0.0,0.5,0.5,0.0,1.0,1.5,0.0,1.0,1.5,3.5,0.0,0.0
2017,2.5,2.0,2.5,2.0,2.0,2.0,0.0,1.5,1.5,2.0,2.5,0.0,0.0,1.5,1.0,0.0,0.5,0.0,0.5,1.5,0.0,0.5,2.5,2.5,0.0,0.0
2018,2.0,1.0,2.0,3.0,2.0,1.0,0.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0
2019,2.0,2.0,4.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0
2020,3.0,2.0,2.0,1.0,2.0,2.0,0.0,3.0,1.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0
2021,2.5,2.5,2.5,3.0,1.5,1.5,0.0,1.5,1.5,3.0,1.0,0.0,0.0,1.0,0.5,0.5,0.5,0.0,1.0,0.5,0.0,1.0,1.5,2.0,0.0,1.5
2022,2.0,2.0,1.0,2.0,3.0,2.0,0.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0
2023,3.0,2.0,2.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0
2024,1.0,1.5,2.0,2.0,4.0,2.0,0.0,2.0,2.0,1.0,3.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0,1.5,0.5,0.0,1.0,3.5,1.0,0.5,0.0
