Year,Theory of Computation,Algorithms,Digital Logic,Operating System,Databases,Compiler Design,IS & Software Engg.,CO & Architecture,Programming,Data Structures,Computer Networks,Web Technologies,Discrete Mathematics,Mathematical Logic,Set Theory & Algebra,Combinatory,Graph Theory,Engineering Mathematics,Probability,Linear Algebra,Numerical Methods,Calculus,Quantitative Aptitude,Verbal Aptitude,Analytical Aptitude,Spatial Aptitude
2010,6.0,10.0,4.0,4.0,6.0,4.0,2.0,6.0,2.0,4.0,6.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,4.0,2.0,0.0,0.0,8.0,2.0,0.0,0.0
2011,6.0,12.0,4.0,4.0,6.0,4.0,2.0,6.0,2.0,2.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,4.0,2.0,0.0,2.0,8.0,2.0,0.0,0.0
2012,2.0,8.0,2.0,8.0,8.0,4.0,0.0,4.0,6.0,2.0,6.0,0.0,0.0,4.0,2.0,0.0,6.0,0.0,6.0,2.0,2.0,2.0,6.0,2.0,0.0,0.0
2013,6.0,10.0,4.0,10.0,6.0,2.0,2.0,6.0,2.0,2.0,4.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0
2014,4.0,8.666666666666666,3.3333333333333335,6.666666666666667,6.0,2.6666666666666665,0.0,4.666666666666667,2.0,2.6666666666666665,5.333333333333333,0.6666666666666666,0.0,1.3333333333333333,2.6666666666666665,1.3333333333333333,3.3333333333333335,0.0,2.6666666666666665,0.6666666666666666,1.3333333333333333,2.0,6.0,4.666666666666667,0.0,0.0
2015,4.0,9.333333333333334,4.0,6.0,4.666666666666667,3.3333333333333335,2.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,4.666666666666667,0.0,0.0,0.6666666666666666,5.333333333333333,0.0,2.0,0.0,1.3333333333333333,2.0,1.3333333333333333,1.3333333333333333,6.0,6.0,0.0,0.0
2016,6.0,5.0,3.0,7.0,3.0,5.0,0.0,7.0,4.0,6.0,7.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0
2017,8.0,5.0,5.0,4.0,6.0,3.0,0.0,7.0,8.0,2.0,4.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,3.0,4.0,0.0,1.0,8.0,3.0,0.0,0.0
2018,6.0,8.0,4.0,6.0,4.0,4.0,0.0,6.0,6.0,2.0,4.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0
2019,6.0,4.0,4.0,8.0,6.0,4.0,0.0,2.0,6.0,4.0,8.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,6.0,4.0,0.0,0.0
2020,6.0,8.0,4.0,8.0,6.0,2.0,0.0,6.0,2.0,4.0,4.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,6.0,2.0,2.0,0.0
2021,7.0,7.0,4.0,4.0,6.0,5.0,0.0,4.0,4.0,2.0,7.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,4.0,2.0,0.0,0.0,5.0,2.0,2.0,1.0
2022,6.0,4.0,4.0,8.0,4.0,2.0,0.0,4.0,4.0,2.0,8.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,4.0,0.0,0.0,4.0,2.0,2.0,2.0
2023,6.0,4.0,4.0,6.0,4.0,6.0,0.0,8.0,2.0,6.0,6.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0
2024,5.0,6.0,4.0,8.0,4.0,7.0,0.0,6.0,2.0,3.0,6.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,4.0,2.0,1.0,3.0
